v2ProductName,canonical_category,row_count
Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,Home/Apparel/Men's/Men's-Outerwear/,995
Google Men's Microfiber 1/4 Zip Pullover Grey/Black,Home/Apparel/Men's/Men's-Outerwear/,948
Google Men's Performance 1/4 Zip Pullover Heather/Black,Home/Apparel/Men's/Men's-Performance Wear/,565
Google Men's Performance Badge Tee Black,Apparel,61
Google Men's Performance Badge Tee Gunmetal,Home/Apparel/Men's/Men's-Performance Wear/,29
Google Men's Performance Badge Tee Navy,Apparel,25
Google Men's Performance Full Zip Jacket Black,Home/Apparel/Men's/Men's-Outerwear/,3109
Google Men's Performance Hero Tee Gunmetal,Home/Apparel/Men's/Men's-Performance Wear/,606
Google Men's Performance Polo Grey/Black,Home/Apparel/Men's/Men's-T-Shirts/,2139
Google Men's Performance Tee Gunmetal,Home/Apparel/Men's/Men's-T-Shirts/,183
Google Men's Pullover Hoodie,Home/Apparel/Men's/Men's-Outerwear/,1342
Google Men's Pullover Hoodie Grey,Home/Apparel/Men's/Men's-Outerwear/,3104
Google Men's Quilted Insulated Vest Battleship Grey,Home/Apparel/Men's/Men's-Outerwear/,838
Google Men's Quilted Insulated Vest Black,Home/Apparel/Men's/Men's-Outerwear/,3448
Google Men's Short Sleeve Badge Tee Charcoal,Apparel,1681
Google Men's Short Sleeve Hero Tee Charcoal,Apparel,1469
Google Men's Short Sleeve Hero Tee Heather,Home/Apparel/Men's/Men's-T-Shirts/,2904
Google Men's Short Sleeve Hero Tee Light Blue,Home/Apparel/Men's/Men's-T-Shirts/,1526
Google Men's Short Sleeve Performance Badge Tee Black,Home/Apparel/Men's/Men's-Performance Wear/,1067
Google Men's Short Sleeve Performance Badge Tee Charcoal,Home/Apparel/Men's/Men's-Performance Wear/,561
Google Men's Short Sleeve Performance Badge Tee Navy,Apparel,814
Google Men's Short Sleeve Performance Badge Tee Pewter,Apparel,728
Google Men's Skater Tee Charcoal,Home/Apparel/Men's/Men's-T-Shirts/,814
Google Men's Skater Tee Grey,Apparel,540
Google Men's Softshell Jacket Black/Grey,Home/Apparel/Men's/Men's-Outerwear/,717
Google Men's Vintage Badge Tee Black,Home/Apparel/Men's/Men's-T-Shirts/,6410
Google Men's Vintage Badge Tee Green,Home/Apparel/Men's/Men's-T-Shirts/,770
Google Men's Vintage Badge Tee Sage,Apparel,1171
Google Men's Vintage Badge Tee White,Home/Apparel/Men's/Men's-T-Shirts/,1755
Google Men's Vintage Tank,Home/Apparel/Men's/Men's-T-Shirts/,755
Google Men's Watershed Full Zip Hoodie Grey,Home/Apparel/Men's/Men's-Outerwear/,3870
Google Men's Weatherblock Shell Jacket Black,Home/Apparel/Men's/Men's-Outerwear/,3049
Google Men's Zip Hoodie,Home/Apparel/Men's/Men's-Outerwear/,98
Google Metallic Notebook Set,Home/Office/Notebooks & Journals/,3543
Google Onesie Green,Home/Apparel/Kid's/Kid's-Infant/,1185
Google Onesie Red,Home/Apparel/Kid's/Kid's-Infant/,551
Google Onesie Red/Graphite,Home/Apparel/Kid's/Kid's-Infant/,831
Google Onesie Royal Blue,Home/Apparel/Kid's/Kid's-Infant/,712
Google Pet Feeding Mat,Home/Accessories/Pet/,830
Google Phone Sanitizer,Home/Electronics/Electronics Accessories/,2385
Google Pocket Bluetooth Speaker,Home/Electronics/Audio/,946
Google Power Bank,Home/Electronics/,2644
Google PowerKit,Home/Electronics/,670
Google RFID Journal,Home/Office/Notebooks & Journals/,1379
Google Red Spiral Notebook,Home/Office/Notebooks & Journals/,17
Google Rucksack,Home/Bags/Backpacks/,9349
Google Slim Utility Travel Bag,Home/Bags/,1850
Google Snapback Hat Black,Home/Apparel/Headgear/,1584
Google Spiral Journal with Pen,Office,366
Google Spiral Leather Journal,Notebooks & Journals,98
Google Sports Bag,Home/Bags/More Bags/,25
Google Stretch Fit Hat,Home/Apparel/Headgear/,1304
Google Stretch Fit Hat L/XL Navy,Headgear,98
Google Stretch Fit Hat M/L Navy,Headgear,249
Google Stretch Fit Hat S/M Navy,Headgear,128
Google Stylus Pen w/ LED Light,Home/Office/Writing Instruments/,1481
Google Sunglasses,Lifestyle,8405
Google Sunglasses Blue,Lifestyle,36
Google Sunglasses Green,Lifestyle,20
Google Sunglasses Red,Lifestyle,43
Google Sunglasses Yellow,Lifestyle,26
Google Toddler 1/4 Zip Fleece Pewter,(not set),653
Google Toddler Hoodie Royal Blue,Home/Apparel/Kid's/Kid's-Toddler/,1443
Google Toddler Raglan Shirt Blue Heather/Navy,Home/Apparel/Kid's/Kid's-Toddler/,931
Google Toddler Short Sleeve T-shirt Green,Home/Apparel/Kid's/Kid's-Toddler/,323
Google Toddler Short Sleeve T-shirt Grey,Apparel,407
Google Toddler Short Sleeve T-shirt Royal Blue,Home/Apparel/Kid's/Kid's-Toddler/,559
Google Toddler Short Sleeve T-shirt Yellow,Home/Apparel/Kid's/Kid's-Toddler/,307
Google Toddler Short Sleeve Tee Red,Home/Apparel/Kid's/Kid's-Toddler/,507
Google Toddler Short Sleeve Tee White,Home/Apparel/Kid's/Kid's-Toddler/,690
Google Toddler Sports T-shirt Red,Apparel,116
Google Toddler Tee Fruit Games Banana,Home/Fruit Games/,110
Google Toddler Tee Fruit Games Cherries,Home/Fruit Games/,112
Google Toddler Tee Fruit Games Lemon,Home/Fruit Games/,121
Google Toddler Tee Fruit Games Pineapple,Home/Fruit Games/,290
Google Toddler Tee Fruit Games Strawberry,Home/Fruit Games/,167
Google Tote Bag,Home/Bags/Shopping and Totes/,1338
Google Tri-blend Hoodie Grey,Home/Apparel/Men's/Men's-Outerwear/,4813
Google Trucker Hat,Home/Apparel/Headgear/,1369
Google Tube Power Bank,Home/Electronics/Power/,2182
Google Twill Cap,Home/Apparel/Headgear/,6910
Google Vintage Henley Grey/Black,Apparel,1134
Google Water Resistant Bluetooth Speaker,Home/Electronics/Audio/,2690
Google Women's 1/4 Zip Jacket Charcoal,Home/Apparel/Women's/Women's-Outerwear/,750
Google Women's 1/4 Zip Performance Pullover Black,Home/Apparel/Women's/Women's-Outerwear/,580
Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,Apparel,296
Google Women's 3/4 Sleeve Baseball Raglan Heather/Black,Home/Apparel/Women's/Women's-T-Shirts/,1851
Google Women's Badge Performance Tee Black,Apparel,18
Google Women's Badge Performance Tee Charcoal,Home/Apparel/Women's/Women's-Performance Wear/,4
Google Women's Badge Performance Tee Gunmetal,Home/Apparel/Women's/Women's-Performance Wear/,9
Google Women's Badge Performance Tee Navy,Home/Apparel/Women's/Women's-Performance Wear/,7
Google Women's Colorblock Tee White,Home/Apparel/Women's/Women's-T-Shirts/,26
Google Women's Convertible Vest-Jacket Black,Home/Apparel/Women's/Women's-Outerwear/,438
Google Women's Convertible Vest-Jacket Sea Foam Green,Home/Apparel/Women's/Women's-Outerwear/,927
Google Women's Fleece Hoodie,Home/Apparel/Women's/Women's-Outerwear/,4030
Google Women's Hero V-Neck Tee White,Home/Apparel/Women's/Women's-T-Shirts/,805
Google Women's Insulated Thermal Vest Navy,Home/Apparel/Women's/Women's-Outerwear/,407
Google Women's Lightweight Microfleece Jacket,Home/Apparel/Women's/Women's-Outerwear/,1383
Google Women's Long Sleeve Blended Cardigan Charcoal,Apparel,258
Google Women's Long Sleeve Tee Lavender,Home/Apparel/Women's/Women's-T-Shirts/,852
Google Women's Performance Full Zip Jacket Black,Home/Apparel/Women's/Women's-Outerwear/,1293
Google Women's Performance Golf Polo Blue,Apparel,69
Google Women's Performance Hero Tee Gunmetal,Home/Apparel/Women's/Women's-Performance Wear/,134
Google Women's Performance Polo Grey/Black,Apparel,90
Google Women's Performance Tee Gunmetal,Home/Apparel/Women's/Women's-T-Shirts/,18
